la,lo,s
52.6848,-1.0935,3
52.7314,-1.204,1
52.4802,-0.9201,3
53.2176,-0.5455,3
53.2574,0.1671,3
53.2545,-0.5317,3
53.2288,-0.5366,3
52.9735,-0.0059,3
52.5919,1.3535,2
52.3979,1.303,2
52.5633,0.3892,3
52.6269,1.3098,2
52.9376,1.2438,2
52.579,1.7176,2
52.7443,0.3827,2
53.1117,-1.2957,2
51.6568,-1.2595,3
51.7488,-1.4116,3
51.7482,-1.2383,3
53.0768,-2.1139,2
52.7025,-1.7767,3
52.6438,-2.1834,1
52.0478,0.7418,3
52.3017,1.5628,2
52.0657,1.1597,2
52.0737,1.099,3
51.3,-0.167,3
51.3084,-0.4167,3
51.1703,-0.2889,2
51.2388,-0.5758,2
51.3719,-0.5081,3
51.4093,-0.592,3
51.3472,-0.4854,3
51.3334,-0.2395,3
51.2677,0.0141,3
51.3129,-0.428,3
51.2384,-0.5574,3
51.088,-0.7283,3
52.5354,-1.5248,3
52.4984,-1.54,3
52.5135,-1.465,3
52.5137,-1.4632,3
52.5243,-1.4955,3
52.5233,-1.4633,3
52.4389,-1.436,3
52.3634,-1.1908,3
51.1062,-0.1925,2
51.1314,-0.169,3
50.9109,-0.1923,2
50.9987,-0.4709,3
51.1022,-0.1903,3
52.2865,-2.1219,3
52.3514,-1.9026,1
52.1156,-2.3112,2
52.1568,-2.2149,2
55.9294,-2.9396,2
58.583,-3.5216,3
57.2378,-3.807,2
57.2266,-5.4067,3
55.9341,-4.6818,2
55.8946,-3.0694,3
55.8753,-3.1646,1
55.4535,-4.575,2
55.4704,-4.6021,3
55.6681,-3.8728,3
56.2021,-4.0857,3
56.4164,-5.4741,1
55.939,-3.2111,2
55.8977,-3.7002,3
56.7307,-2.657,3
56.4644,-2.9728,3
56.2555,-3.1465,3
55.8869,-4.2848,2
55.8192,-4.2557,3
53.2412,-3.1274,3
52.115,-4.5107,3
51.6948,-4.1868,2
51.6539,-4.0086,3
51.4782,-3.2421,2
51.7123,-3.4428,3
51.6644,-3.1393,3
51.668,-3.0058,2
51.5558,-3.0104,3
52.6646,-3.1343,2
52.5118,-3.4222,3
52.4858,-3.5985,2
54.6845,-1.253,3
54.6515,-1.2286,2
54.5598,-1.0002,2
54.5631,-1.315,3
54.6021,-1.3011,3
53.3606,-2.7263,3
53.4313,-2.4622,3
53.7268,-2.5146,3
53.8167,-3.0371,3
53.766,-0.3586,3
53.758,-0.3533,3
53.7709,-0.3881,3
53.7999,-0.3305,3
53.7616,-0.3505,3
53.7675,-0.2738,2
53.7624,-0.7435,3
53.9409,-0.5433,3
53.8597,-0.2082,3
53.571,-0.6432,3
53.9591,-1.0815,3
52.9162,-1.4131,3
52.634,-1.1897,3
52.643,-1.1642,2
52.9647,-1.1525,3
52.9814,-1.1265,3
52.9608,-1.1475,3
52.9404,-1.1404,3
52.0914,-2.6581,3
51.4089,-2.5707,3
51.4788,-2.5332,3
51.3586,-2.8922,3
51.477,-2.5125,3
50.3893,-4.1413,3
50.3796,-4.1281,3
50.3609,-4.0572,3
50.4052,-3.5649,3
50.4694,-3.5444,2
52.5446,-0.3059,3
52.599,-0.2099,3
52.5636,-0.2845,3
52.5807,-0.2437,3
51.8921,-0.4547,3
51.5418,0.6965,3
51.3575,0.5789,2
51.4565,-0.9784,3
51.4456,-0.9569,3
52.0342,-0.6913,3
52.0404,-0.6774,3
52.0525,-0.8127,3
52.0402,-0.8192,3
50.8237,-0.1438,3
50.8447,-0.1652,3
50.8484,-1.0824,3
50.796,-1.0749,3
50.8971,-1.3375,3
50.677,-1.2502,3
50.6645,-1.4774,2
53.1004,-2.4451,3
53.2633,-2.1223,3
53.0695,-2.4939,3
52.354,-2.6586,3
52.7203,-2.8235,3
50.5635,-4.3335,1
50.7627,-4.5477,2
50.0506,-5.0875,3
50.348,-4.926,3
51.1485,-2.0113,3
51.3129,-2.2139,3
51.3097,-2.2327,3
52.0357,-0.3219,3
52.0688,-0.2403,3
52.0266,-0.2693,2
52.027,-0.4251,3
51.911,-0.4834,3
54.9727,-2.4493,2
55.4116,-1.719,2
50.7541,-1.8177,3
50.7309,-1.918,3
50.7171,-1.8738,3
50.8895,-2.2264,3
50.7169,-2.4156,3
50.8107,-1.9177,3
50.6376,-2.4702,3
51.5795,-0.6695,3
51.8235,-0.829,3
52.2409,-0.8927,3
52.3328,-1.1664,3
54.8283,-3.3161,2
54.2377,-2.7722,3
54.1337,-0.7971,2
54.0232,-1.2017,3
54.0833,-0.6802,3
54.1204,-1.4124,3
50.8736,-2.9782,3
51.0278,-3.0908,3
50.983,-2.9808,3
