Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
13/01/2023;20:45;VIA BASILE ERNESTO di fronte al civico 48;1;F;38,107014;13,35375
14/01/2023;04:00;VIA SFERRACAVALLO nr. 222;0;C;38,197344;13,277432
14/01/2023;10:30;VIALE REGIONE SICILIANA S.E. carreggiata centrale DIREZ. CATANIA;0;C;38,091367;13,342374
14/01/2023;10:30;VIA CASTELFORTE altezza del civico 101;0;C;38,186871;13,323654
14/01/2023;13:00;CORSO TUKORY intersezione con VIA DI CRISTINA GIOVANNI;1;F;38,108559;13,358036
14/01/2023;20:00;PIAZZA NASCE' FRANCESCO intersezione con VIA CARINI ISIDORO;1;F;38,127854;13,356543
15/01/2023;00:08;VIA AVERSA TOMMASO intersezione VIA BISAZZA FELICE;0;C;38,124664;13,337701
15/01/2023;01:40;FORO UMBERTO I pressi PORTA FELICE;1;F;38,119723;13,371406
15/01/2023;05:10;VIA CALA altezza del civico 62;0;C;38,118787;13,368311
15/01/2023;09:45;VIA FERRARA FRANCESCO intersezione con VIA DE SPUCHES GIUSEPPE;1;F;38,12531;13,35074
15/01/2023;13:30;VICOLO S.ROSALIA altezza CIV 7;0;C;38,111505;13,364796
15/01/2023;17:50;PIAZZA LEONI intersezione con VIALE DIANA;0;C;38,146918;13,344018
16/01/2023;01:30;VIA SAMMARTINO intersezione con VIA DANTE;2;F;38,123729;13,350669
16/01/2023;10:00;VIA LATINI BRUNETTO intersezione con VIA DANTE;1;F;38,123446;13,349476
16/01/2023;11:45;VIALE REGIONE SICILIANA N.O. altezza civico 7373;1;F;38,162965;13,309092
16/01/2023;14:10;VIA DODICI GENNAIO intersezione con VIA GARZILLI NICCOLO';1;F;38,125345;13,352821
16/01/2023;14:30;VIA GALLETTI altezza del civico 16;0;C;38,095922;13,428873
16/01/2023;18:10;VIA DALLA CHIESA C. A. GEN. intersezione con VIA DUCA DELLA VERDURA;1;F;38,134339;13,352392
16/01/2023;20:25;PIAZZA UNITA' D'ITALIA intersezione con VIA GIUSTI GIUSEPPE;0;C;38,137149;13,344017
16/01/2023;23:50;VIALE REGIONE SICILIANA carr. centrale rotonda oreto;0;C;38,090736;13,377773
17/01/2023;01:00;VIA BIXIO NINO nr. 26;0;C;38,126784;13,342244
17/01/2023;05:20;VIA ALLA FALCONARA nr. 60;1;F;38,117698;13,28946
17/01/2023;06:00;VIALE REGIONE SICILIANA S.E. altezza (spec.) altofonte;1;F;38,095702;13,336134
17/01/2023;07:35;VIA BASILE ERNESTO di fronte al civico 108;1;F;38,104905;13,351138
17/01/2023;08:30;VIA BASILE ERNESTO intersezione VIA CAU LUSSORIO;1;F;38,094954;13,341279
17/01/2023;09:20;VIA DEI CANTIERI altezza (spec.) 26;1;F;38,136644;13,361545
17/01/2023;10:00;VIA AUSONIA intersezione VIALE PRAGA;1;F;38,152346;13,332361
17/01/2023;10:15;VIA BONELLO MATTEO di fronte al civico 15;0;C;38,114756;13,35485
17/01/2023;10:50;VIA MANCUSO LENIN intersezione con VIA RUSSO DOMENICO;0;C;38,09891;13,322424
17/01/2023;12:00;VIA INGHAM altezza del civico 7;0;C;38,095003;13,396185
17/01/2023;19:10;VIALE DELLE ALPI nr. 14;0;C;38,139539;13,336694
17/01/2023;19:45;VIA SFERRACAVALLO nr. 113 F;0;C;38,195605;13,280189
17/01/2023;21:30;VIA TERRASANTA intersezione VIA COSTANTINO DOMENICO;0;C;38,131259;13,34402
18/01/2023;07:00;VIA ORETO s.n.c.;1;F;38,100711;13,371147
18/01/2023;07:05;VIA CAPPELLO SALVATORE intersezione VIALE DEI PICCIOTTI;0;C;38,105433;13,381814
18/01/2023;08:30;CORSO CALATAFIMI nr. 776;0;C;38,098625;13,319351
18/01/2023;11:03;CORSO DEI MILLE nr. 1401/C;0;C;38,088205;13,420539
18/01/2023;12:00;VIA TERRASANTA altezza 20;1;F;38,128548;13,345719
18/01/2023;13:20;VIA DELL'ARSENALE di fronte quinta casa;0;C;38,135636;13,364148
18/01/2023;15:45;VIA TOSELLI PIETRO MAGG. intersezione con VIA ALESSI GIUSEPPE;1;F;38,140173;13,349906
18/01/2023;17:20;VIA CAMPOLO GIOVANNI altezza 114;0;C;38,12937;13,337651
18/01/2023;18:00;VIALE STRASBURGO altezza del civico 251;0;C;38,159299;13,324117
18/01/2023;18:15;VIA S. GIOVANNI DI DIO altezza del civico 9;2;F;38,100257;13,383538
