la,lo,s,n
51.899,-0.4719,3,1
51.5475,0.7022,3,1
51.5586,0.6817,3,1
51.5087,0.2676,3,1
51.3833,0.5088,3,1
51.4294,-0.7502,3,1
51.4069,-1.3127,3,1
51.3929,-1.0216,3,1
51.4562,-0.9935,3,1
51.5206,-0.6391,3,1
51.5206,-0.5993,3,1
51.5129,-0.6014,3,1
52.0801,-0.7089,2,1
50.8561,-0.1844,3,1
50.834,-0.1507,3,1
50.8682,-0.1154,3,1
50.7956,-1.0647,3,1
50.8236,-1.0791,3,1
50.83,-1.0664,3,1
50.8957,-1.3634,2,1
50.8896,-1.3672,3,1
50.9028,-1.4011,3,1
54.7946,-1.5903,3,1
54.8516,-1.5734,2,1
54.6316,-1.7194,3,1
53.349,-2.1209,3,1
53.2582,-2.1601,2,1
53.1989,-2.8497,3,1
53.2489,-2.5885,3,1
50.62,-4.4244,3,1
50.3492,-4.892,3,1
50.2578,-5.0477,2,1
51.5411,-2.2035,3,1
51.4636,-2.138,3,1
51.2125,-1.7814,3,1
51.0747,-1.8009,3,1
51.3612,-1.9758,3,1
52.1166,-0.4692,3,1
52.1659,-0.509,3,1
52.0868,-0.2595,3,1
55.0942,-1.6058,2,1
50.802,-1.8891,3,1
50.6096,-2.4537,3,1
50.7129,-2.514,3,1
50.6374,-2.0062,2,1
50.5188,-2.4552,3,1
50.6814,-2.2225,3,1
51.5828,-0.5341,3,1
51.6396,-0.693,3,1
51.5812,-0.5849,2,1
51.8006,-0.7898,3,1
51.5721,-0.5047,2,1
53.8316,-1.0606,3,1
54.2878,-1.339,2,1
51.0214,-3.0655,3,1
51.0208,-3.2018,1,1
53.4,-2.2946,3,1
53.532,-2.1142,3,1
53.5093,-2.1334,3,1
53.5466,-2.0788,2,1
53.5413,-2.1347,3,1
53.6372,-2.1223,3,1
53.4833,-2.2574,3,1
53.51,-2.3355,3,1
53.4915,-2.38,3,1
53.4201,-2.1874,3,1
53.3726,-2.1461,3,1
53.4488,-2.3144,3,1
53.4678,-2.3445,3,1
53.5695,-2.5864,3,1
53.5154,-2.5471,2,1
53.4692,-2.5997,2,1
53.4433,-2.9587,3,1
53.3911,-2.8476,3,1
53.4101,-2.929,3,1
53.3927,-2.9338,3,1
53.6454,-2.9874,3,1
53.6435,-2.987,3,1
53.3672,-3.0025,2,1
53.5483,-1.3807,2,1
53.5185,-1.4111,3,1
53.5371,-1.4471,2,1
53.533,-1.1557,3,1
53.5316,-1.1117,3,1
53.4743,-1.3364,3,1
53.3908,-1.4422,3,1
53.4076,-1.5041,2,1
53.3753,-1.4279,3,1
53.3746,-1.4125,3,1
53.3226,-1.5771,3,1
54.9857,-1.6597,1,1
54.9948,-1.5661,2,1
54.9761,-1.6274,2,1
52.4988,-1.8595,2,1
52.5287,-1.9097,3,1
52.4643,-1.8592,3,1
52.5145,-1.946,2,1
52.4556,-1.8863,3,1
52.394,-1.5068,3,1
52.4266,-1.4616,2,1
52.4193,-1.4836,3,1
52.3985,-1.4419,3,1
52.5083,-2.1547,3,1
52.5013,-2.1141,3,1
52.5007,-1.9598,3,1
52.5069,-1.9922,2,1
52.4737,-2.0807,3,1
52.4295,-1.6848,3,1
52.5823,-2.0286,3,1
53.7906,-1.7456,3,1
53.7942,-1.7259,3,1
53.7825,-1.7337,3,1
53.9013,-1.9446,3,1
53.7163,-1.8718,3,1
53.6457,-1.7578,3,1
53.5793,-1.7662,1,1
53.7738,-1.5453,3,1
53.8194,-1.4522,3,1
53.7695,-1.5911,3,1
53.7231,-1.5827,3,1
53.8188,-1.5175,3,1
53.666,-1.4274,2,1
54.9597,-1.8019,3,1
51.5625,0.174,3,1
51.5591,0.1395,3,1
51.6654,-0.199,2,1
51.4884,0.1679,2,1
51.5462,-0.2974,2,1
51.5646,-0.2398,3,1
51.5761,-0.2626,3,1
51.5877,-0.2517,3,1
51.5654,-0.2645,3,1
51.541,-0.2542,3,1
51.5564,-0.2861,3,1
51.5418,-0.2327,3,1
51.5559,-0.2645,3,1
51.3775,-0.024,3,1
51.4107,0.0099,3,1
51.4056,0.0207,3,1
51.4106,-0.0869,3,1
51.3588,-0.0978,3,1
51.4944,-0.3715,3,1
51.517,-0.309,2,1
51.6324,-0.1272,3,1
51.6126,-0.1142,3,1
51.6123,-0.0986,3,1
51.6222,-0.0611,3,1
51.6684,-0.0418,3,1
51.6126,-0.0617,3,1
51.6803,-0.0339,3,1
51.4408,0.0513,3,1
51.4835,-0.0006,3,1
51.453,0.0355,3,1
51.4914,0.0088,3,1
51.4549,0.0513,3,1
51.5488,-0.0505,3,1
51.5753,-0.0656,3,1
51.5468,-0.0532,3,1
51.546,-0.066,3,1
51.5145,-0.2339,3,1
51.4891,-0.2038,3,1
51.4858,-0.2028,3,1
51.5986,-0.1383,3,1
51.5907,-0.1035,3,1
51.5917,-0.3333,3,1
51.5792,-0.3389,2,1
51.5131,-0.4349,3,1
51.5078,-0.4728,2,1
51.4846,-0.3044,3,1
51.4603,-0.4096,3,1
51.4775,-0.4037,3,1
51.4676,-0.3677,3,1
51.525,-0.092,3,1
51.5736,-0.127,3,1
51.5425,-0.1031,3,1
51.5234,-0.1083,3,1
51.5041,-0.2163,3,1
51.4231,-0.1296,3,1
51.461,-0.1161,3,1
51.4585,-0.0128,3,1
51.4257,-0.0445,2,1
51.4627,-0.0088,3,1
51.44,0.0004,2,1
51.4315,0.0232,3,1
51.4554,-0.0156,3,1
51.4777,-0.0202,3,1
51.4257,-0.2248,3,1
51.4105,-0.1725,3,1
51.5166,0.0099,3,1
51.5327,0.0719,3,1
51.5347,-0.0043,2,1
51.5769,0.0661,3,1
51.5652,0.1031,3,1
51.5703,0.1287,3,1
51.454,-0.3376,3,1
51.4622,-0.3197,3,1
51.457,-0.2674,3,1
51.4966,-0.0395,3,1
51.363,-0.2091,2,1
51.5232,-0.0394,2,1
51.5142,-0.0341,3,1
51.6004,-0.0108,3,1
51.5767,-0.0109,3,1
51.5965,-0.0386,3,1
51.4675,-0.1583,3,1
51.4576,-0.1855,3,1
51.4589,-0.1927,3,1
51.4644,-0.1626,2,1
51.5314,-0.1769,3,1
51.5225,-0.1737,2,1
51.5065,-0.1224,3,1
51.5121,-0.1398,3,1
51.5243,-0.2014,3,1
52.2201,0.1541,3,1
52.2487,0.042,2,1
52.5097,0.0799,2,1
54.1139,-3.2264,3,1
54.7593,-2.7732,3,1
54.4572,-2.3626,2,1
54.71,-3.4858,2,1
53.092,-1.3098,2,1
53.0538,-1.4226,3,1
53.0255,-1.7345,3,1
53.0616,-1.402,3,1
52.8612,-1.3851,3,1
53.3024,-1.8046,2,1
50.8133,-2.9567,3,1
50.6214,-3.5515,2,1
50.9986,-4.0991,2,1
50.7113,-3.5377,3,1
50.8176,-4.1571,3,1
50.8274,0.1589,3,1
50.7596,0.2829,2,1
50.8529,0.0707,2,1
50.8322,0.0345,3,1
50.7698,0.1109,3,1
51.5555,0.5598,3,1
51.7292,0.4765,3,1
51.7254,0.3902,3,1
51.7889,1.1481,3,1
51.7149,-2.1155,2,1
51.8745,-1.6729,2,1
52.0896,-1.7675,2,1
51.8588,-1.9319,1,1
51.868,-2.2237,3,1
51.2614,-1.1444,3,1
50.7859,-0.9882,3,1
50.8753,-1.2201,3,1
51.6902,-0.1827,3,1
51.8262,-0.2094,3,1
51.8215,-0.3616,2,1
51.7062,-0.0615,3,1
51.7462,-0.3427,2,1
51.1701,0.7141,3,1
51.3403,0.2676,2,1
51.127,0.5614,2,1
51.389,1.3964,3,1
51.4216,0.7735,3,1
51.3544,1.3869,3,1
51.442,0.3733,2,1
51.1001,0.4367,3,1
51.2954,0.4849,3,1
51.1475,0.2753,3,1
51.1609,0.8671,3,1
53.7605,-2.6985,3,1
53.7574,-2.6836,3,1
53.7692,-2.6658,2,1
54.0344,-2.795,3,1
53.8447,-2.6792,3,1
53.8375,-2.883,3,1
54.0556,-2.8508,3,1
53.9047,-3.0316,2,1
53.6458,-2.6243,3,1
53.8173,-2.2526,2,1
52.6003,-1.1882,3,1
52.8524,-0.8645,3,1
52.6897,-1.3105,2,1
52.8806,-0.0516,2,1
53.0341,-0.3659,3,1
52.9346,-0.6296,3,1
52.739,0.1231,2,1
52.97,-0.0556,2,1
52.9948,-0.7641,3,1
53.413,-0.3489,2,1
52.3697,1.1363,2,1
52.1788,-1.025,3,1
52.234,-0.8962,3,1
53.3195,-0.9412,2,1
51.7502,-1.2431,3,1
51.7211,-1.3221,3,1
51.7883,-1.2692,3,1
51.7626,-1.2356,3,1
51.676,-1.1897,3,1
53.012,-2.2191,2,1
52.8092,-1.8267,3,1
52.9337,-1.9352,3,1
53.0072,-2.2605,3,1
52.0676,1.2565,2,1
52.4563,1.469,3,1
52.1539,1.0517,3,1
52.2534,0.7145,3,1
51.3172,-0.2418,2,1
51.2063,-0.8156,2,1
51.3398,-0.2014,3,1
51.264,-0.5503,3,1
51.4361,-0.5155,3,1
51.261,-0.2642,3,1
51.3981,-0.4542,3,1
52.471,-1.6618,2,1
52.4927,-1.5952,3,1
52.5158,-1.5118,3,1
52.464,-1.2986,3,1
52.256,-1.5642,3,1
52.4852,-1.7064,2,1
52.6427,-1.5986,3,1
51.019,-0.0489,3,1
50.7924,-0.7945,3,1
51.0454,-0.8467,3,1
50.8358,-0.8033,2,1
51.0452,-0.4332,2,1
50.817,-0.804,1,1
51.0337,-0.0417,3,1
50.8316,-0.226,3,1
51.1055,-0.2058,3,1
50.9039,-0.3471,1,1
52.3041,-1.9412,3,1
52.1298,-2.3153,3,1
52.3657,-2.2647,3,1
52.2113,-2.2066,3,1
55.616,-4.4766,3,1
55.9852,-2.8505,3,1
57.1541,-2.1498,1,1
57.1398,-2.1425,3,1
56.9095,-2.3537,2,1
55.9335,-3.2669,3,1
55.9604,-3.3016,3,1
55.9158,-3.2878,3,1
55.9426,-3.212,3,1
55.8428,-4.4242,3,1
55.8901,-4.4595,2,1
55.9693,-3.6253,3,1
55.9157,-3.5244,3,1
56.465,-3.0627,3,1
56.0716,-3.459,2,1
56.412,-3.455,3,1
55.8506,-4.2485,2,1
52.8877,-4.4236,2,1
52.9611,-3.0769,2,1
51.6731,-4.1431,3,1
51.6881,-4.2618,3,1
51.4407,-3.203,3,1
51.6383,-3.0006,2,1
51.6034,-2.9489,3,1
54.5717,-1.2174,2,1
54.5714,-1.346,3,1
54.5185,-1.4703,3,1
53.3829,-2.5265,3,1
53.7459,-2.4455,3,1
53.7545,-0.3597,2,1
53.7738,-0.364,3,1
53.7432,-0.358,3,1
53.7636,-0.1323,3,1
53.7443,-0.4125,3,1
53.824,-0.4369,3,1
53.8921,-0.156,3,1
53.569,-0.0869,3,1
52.8919,-1.4483,3,1
52.8995,-1.4524,3,1
52.9072,-1.4532,3,1
52.6389,-1.103,3,1
53.0118,-1.1861,3,1
52.9483,-1.1814,3,1
52.9684,-1.1728,3,1
52.0715,-2.7222,3,1
51.4797,-2.5894,3,1
51.4109,-2.542,3,1
50.3695,-4.1601,3,1
50.4988,-3.5372,3,1
50.4874,-3.5684,3,1
50.4614,-3.5215,2,1
50.4368,-3.5657,2,1
51.5713,-1.7504,3,1
51.5626,-1.8174,3,1
51.5849,-1.8195,2,1
52.5738,-0.2473,3,1
51.8935,-0.4338,2,1
51.8851,-0.4321,3,1
51.5383,0.693,3,1
51.4351,-1.2707,3,1
51.5083,-0.5805,3,1
51.4514,-0.9216,3,1
51.4117,-0.9503,3,1
51.4541,-0.8923,3,1
52.0434,-0.6803,2,1
52.0113,-0.7478,3,1
52.1614,-0.7014,3,1
50.8357,-0.152,3,1
50.818,-0.125,3,1
50.8463,-1.0541,3,1
50.8137,-1.08,3,1
50.8895,-1.3679,3,1
54.7893,-1.3324,3,1
54.6475,-1.4543,1,1
54.636,-1.6566,3,1
53.1054,-2.427,3,1
53.3204,-2.4357,3,1
53.099,-2.4471,3,1
53.3067,-3.0758,2,1
53.2566,-2.5224,3,1
50.8768,-4.5485,3,1
50.3488,-4.4783,2,1
50.223,-5.3203,3,1
51.1362,-1.942,3,1
51.5361,-2.1311,3,1
51.4035,-2.1652,3,1
51.1836,-2.1928,3,1
52.0284,-0.3917,3,1
51.9066,-0.5178,3,1
51.8539,-0.422,3,1
55.4882,-1.6411,2,1
50.7431,-1.9778,3,1
50.7329,-1.9218,3,1
50.8644,-2.1564,3,1
50.8052,-1.9443,2,1
51.5761,-0.5033,3,1
51.5363,-0.6633,2,1
52.1767,0.116,3,1
54.8814,-2.9302,3,1
54.3445,-2.7357,2,1
53.031,-1.4724,3,1
52.9855,-1.4895,3,1
52.8962,-1.2723,3,1
53.2358,-1.3877,3,1
53.2005,-1.418,3,1
51.0738,-4.0306,3,1
51.0755,-4.0621,3,1
50.9134,0.0383,3,1
50.9465,0.4121,2,1
51.5857,0.4988,3,1
51.581,0.535,3,1
51.5675,0.5101,2,1
51.8681,0.5817,3,1
51.8764,0.5589,2,1
51.8364,0.61,2,1
51.786,0.5314,3,1
51.9164,0.8909,3,1
51.6478,0.0916,3,1
51.7723,0.1274,3,1
51.8117,1.146,3,1
51.8662,0.3434,2,1
51.8833,-2.0402,2,1
51.9043,-2.1147,3,1
51.7307,-2.2494,3,1
51.3275,-1.2388,3,1
51.0045,-0.9408,3,1
50.8584,-1.122,3,1
51.2335,-0.862,3,1
50.855,-0.9668,3,1
50.9202,-1.5882,3,1
50.9764,-1.4338,3,1
50.8808,-1.0361,3,1
51.7397,-0.4734,3,1
51.9459,-0.25,3,1
51.6292,-0.4348,3,1
51.706,-0.3815,3,1
51.6513,-0.3857,3,1
51.3004,1.1073,3,1
51.2347,1.1402,3,1
51.2719,1.0823,3,1
51.4264,0.2356,3,1
51.4131,0.2794,3,1
51.1576,1.2896,3,1
51.1722,1.2436,2,1
51.1654,1.3561,2,1
51.2968,0.5131,3,1
51.3137,0.6294,3,1
51.3161,0.8886,3,1
51.2913,0.8715,2,1
51.3403,0.7406,3,1
51.3586,1.2505,3,1
51.2988,0.4418,3,1
53.7862,-2.2325,3,1
53.6689,-2.6156,2,1
53.6364,-2.7142,3,1
54.0549,-2.8484,2,1
53.8039,-2.7146,2,1
53.6552,-2.1755,3,1
53.8921,-2.7468,3,1
53.8474,-2.9834,3,1
52.4792,-0.9235,2,1
52.7002,-1.3033,3,1
52.723,-1.3667,3,1
52.6924,-1.4023,3,1
53.221,-0.4738,3,1
53.1525,-0.4122,3,1
52.9113,-0.6334,3,1
52.8644,-0.3464,3,1
53.3047,-0.4537,3,1
52.4668,0.7056,3,1
52.6274,1.589,3,1
52.7126,1.196,2,1
52.7569,1.2585,3,1
52.678,1.2194,2,1
52.6214,1.2236,3,1
52.4,-0.9256,2,1
52.2605,-1.1771,3,1
52.2438,-0.862,3,1
52.2346,-0.9006,3,1
52.0564,-1.2863,3,1
52.3081,-0.6874,3,1
53.9219,-1.9991,3,1
53.9861,-2.0869,3,1
54.4259,-1.3206,3,1
54.4429,-1.6712,3,1
54.2805,-0.4052,3,1
54.4851,-0.6145,3,1
54.2106,-0.2943,3,1
51.8073,-1.2786,3,1
52.0717,-1.3195,3,1
51.9457,-1.2035,3,1
51.1694,-2.5578,3,1
50.8935,-2.7729,2,1
52.706,-2.0029,3,1
52.8242,-2.1059,3,1
52.7904,-2.0837,3,1
52.0364,0.7328,3,1
52.2004,1.1921,3,1
51.3838,-0.3891,3,1
51.3843,-0.4179,3,1
51.3487,-0.3617,3,1
51.3473,-0.2667,1,1
51.3333,-0.2669,3,1
51.2838,-0.6217,3,1
51.2119,-0.573,3,1
51.2569,-0.3595,3,1
51.2799,-0.2165,3,1
51.2583,-0.2233,3,1
51.4337,-0.5743,3,1
51.3793,-0.5667,3,1
51.4369,-0.4995,3,1
51.3283,-0.7321,3,1
51.3171,-0.7565,3,1
51.1593,-0.8263,3,1
51.1132,-0.5116,2,1
52.5173,-1.7221,2,1
