procom,dzcom,pop_2018,var_perc,ivsm,agmax_50,e31_pct,a7,a7_pct,persone_per_abitazione,erecq_txt
095035,Nurachi,1766,-1.3958682300390843,99.76911866832198,0.05,0.571,109,13.885,2.25,entro il 1990
095036,Nureci,357,1.4204545454545454,98.32021671090261,0.05,6.796,69,31.797,1.645,entro il 1980
095037,Ollastra,1212,-3.1948881789137378,96.98561187303925,0.05,2.846,116,19.761,2.065,entro il 1990
095038,Oristano,31671,1.8425622226509744,99.04902457110931,0.05,1.324,3715,22.958,1.957,entro il 1990
095039,Palmas Arborea,1523,3.0446549391069015,97.23466094249159,0.05,1.657,78,12.829,2.505,entro il 2000
095040,Pau,299,0.0,100.82150054086425,0.05,1.676,52,28.415,1.634,entro il 1990
095041,Paulilatino,2207,-5.764304013663535,99.52976407037168,0.05,4.035,353,28.537,1.784,entro il 1990
095042,Pompu,253,-8.664259927797833,98.62274609254548,0.05,0.0,23,19.167,2.108,entro il 1990
095043,Riola Sardo,2143,0.18700327255726976,98.53820808438135,0.05,0.624,210,19.645,2.005,entro il 1990
095044,Ruinas,674,-7.162534435261708,99.45540551732977,0.05,3.828,131,30.394,1.564,entro il 1980
095086,Sagama,199,2.5773195876288657,99.13043866351816,0.05,3.497,60,40.816,1.354,entro il 1970
095045,Samugheo,3018,-4.974811083123426,98.11490414309166,0.05,0.662,390,24.345,1.884,entro il 1990
095046,San Nicolò d'Arcidano,2630,-6.272273699215966,103.00957117009469,0.05,0.574,168,14.201,2.223,entro il 1990
095050,San Vero Milis,2493,-1.1498810467882634,100.25632945565619,0.05,5.945,1946,64.246,0.823,entro il 1990
095047,Santa Giusta,4807,-0.062370062370062374,99.68739927260403,0.05,0.072,201,10.334,2.471,entro il 2000
095049,Santu Lussurgiu,2372,-2.6272577996715927,97.96771219596633,0.05,5.586,524,35.003,1.585,entro il 1980
095051,Scano di Montiferro,1493,-5.08582326764145,99.13368390551243,0.05,2.884,387,37.573,1.45,entro il 1970
095052,Sedilo,2094,-5.377315860822414,97.76233018927515,0.05,2.005,280,23.51,1.758,entro il 1980
095053,Seneghe,1749,-5.254604550379198,97.97388473584019,0.05,0.0,260,26.183,1.761,entro il 1980
095054,Senis,438,-8.368200836820083,98.2494450339119,0.05,3.546,101,32.792,1.422,entro il 1980
095055,Sennariolo,186,1.639344262295082,104.02470742911517,0.05,0.0,43,33.333,1.442,entro il 1970
095056,Siamaggiore,926,-4.634397528321318,99.51063664821629,0.05,6.733,59,13.753,2.159,entro il 1990
